Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal,Terlaris,Bulan
Elektronik,Aryansri06,Bandung,"Tang Terminasi Kabel Konektor Kawat kabel Listrik, Terminal Crimping Konektor Pipa Tembaga Terminasi Penyambungan Berbentuk U/O 2.8/4.8/6.3mm Elektronik Kendaraan & GPS | Instalasi Audio & Video Mobil",55272,50,4.9,2025-07-09,0,2025-07
Elektronik,Stazionario,Jakarta Utara,Meja Dasbor Meja Digital Lcd Mini Jam Elektronik Untuk Desktop Rumah Kantor Jam Meja Tampilan Meja Diam - Stazionario,23500,5,4.3,2025-05-31,0,2025-05
Elektronik,Gemilang Persada Tools,Jakarta Barat,TROODON Timbangan Digital 40 Kg PVC Timbangan Elektronik DIGITAL Electronic Scale 40kg Meja Harga Sembako Telor Kue Tepung Buah Sayur Daging Ikan Barang Laundry Kargo,195000,23,5.0,2025-05-16,0,2025-05
Elektronik,Brothers Network,Bekasi,Kabel Listrik Elektronik Serabut Kecil 1x25 Eceran Per Meter,2000,4,5.0,2025-06-18,0,2025-06
Elektronik,89 Store ACC,Surabaya,Kabel Data MI TURBO CHARGE 33W 45W 67W 90W 120W ELBOW Gaming Type C 6A Original For XIAOMI REDMI POCO ori tepsi Type-C Fast r acun elektronik,27000,18,5.0,2025-06-08,0,2025-06
Elektronik,TCL Indonesia Official,Tangerang,"iFFALCON by TCL S55 Series Google TV (Android 14) Smart Digital - HD - HDR 10 - Dolby Audio - Google Play/Netflix/YouTube/Disney+ Hotstar/Prime Video - WiFi/Bluetooth 24 (Size: 32, 40, 43 inch)",1749900,100,5.0,2025-05-22,0,2025-05
Elektronik,KlikKilat,Jakarta Barat,16GB+1024GB│Baterai besar 6000mAh│Pengisian cepat│Layar besar HD 120HZ│Gaming lancar│Bluetooth 6.0│3G/4G/5G│Android 12.4,849000,25,5.0,2025-04-18,0,2025-04
Elektronik,RAMA PUTRA KURNIAWA,Kab. Tangerang,【Flash Sale】Drone S1 8K HD Foldable - Voice Control & Auto Return Home System - Kamera 12MP dengan Zoom 4X + Night Mode - Bundle 2 Baterai + Charger USB-C + Stiker Anti Gores Remote Camera Wifi,1775943,1,0.0,2025-07-09,0,2025-07
Elektronik,NIDEYANLEIZHENMEILI,Surabaya,HP Samsug Galaxy S25 Ultra Handphone Andorid 14.0 7.5inci layar penuh ORI 16GB+1024GB 8000mAh Baterai Fast Charge Android14.0 72MP+108MP gaming phone Face ID Bisa COD Cicilan,1203662,7,1.0,2025-05-31,0,2025-05
Elektronik,MUHAMMAD AGUN,Surabaya,Bisa COD hp promo Ponsel handphone 4GWIFI Smartphone galaxy S24ultra 7.3inci Dual SIM 16GB+512GB hp snapdragon 8 gen 2 Bisa COD 1 set mobilador untuk hp ram 8 murah gaming phone 2025 cara kredit hp di tiktok shop Telepon gaming 2025,1308131,1,0.0,2025-07-03,0,2025-07
