,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal
0,Elektronik,Buku Beta,Kab. Sleman,Hukum Acara Perdata Secara Elektronik - Salim HS,93280,0,0.0,7/29/2025
1,Elektronik,CHAXIGO ID1,Jakarta Utara,Jam Tangan Elektronik Digital Analog CHAXIGO Tampilan LED Tahan Guncangan Tahan Air 50m Jam Alarm Bercahaya Jam Tangan Pria CA275,159000,0,0.0,7/29/2025
2,Elektronik,CHAXIGO ID1,Jakarta Utara,Jam Tangan Elektronik Digital CHAXIGO Tahan Air Chronograph LED Bercahaya Jam Tangan Pria Olahraga Luar Ruangan Jam Tangan Pelajar CA273,158000,0,0.0,7/29/2025
3,Elektronik,CHAXIGO ID1,Jakarta Utara,"Jam Tangan Elektronik CHAXIGO untuk Pelajar, Tampilan LED Digital, Tahan Air, Olahraga, Luar Ruangan, Chronograph Bercahaya, Jam Alarm Pria CA274",118000,0,0.0,7/29/2025
4,Elektronik,Kohler ID,Jakarta Barat,(Perfect Pair) KOHLER Family Care Kloset Duduk / Toilet 1PC Revolution 360 K-23188T-S-0 + PureWash E910 Smart Bidet Seat / Tutup Kloset Pintar Elektronik Soft Close K-28362K-0,18168480,0,0.0,7/29/2025
5,Elektronik,Kohler ID,Jakarta Barat,(Perfect Pair) KOHLER Veil Skirted Kloset Duduk / Toilet 1PC K-1381T-NS-0 + PureWash E910 Smart Bidet Seat Slim / Tutup Kloset Pintar Elektronik Soft Close K-28362K-0,17549100,0,0.0,7/29/2025
6,Elektronik,Brilliant StarShop,Jakarta Utara,{Brilliant Star Elektronik} Magic Com Penanak Nasi Welhome WRC 1211 Anti lengket Wellhome Ungu,200900,1,5.0,7/29/2025
7,Elektronik,Brilliant StarShop,Jakarta Utara,{Brilliant Star Elektronik} Magic com Okayama OK-101  Rice Cooker 1 Liter Model Baru,205500,2,5.0,7/29/2025
8,Elektronik,iuggyit,Kab. Bogor,Jam Mobil Tempel Dashboard / Jam Elektronik Tempel Dashboard Mobil Luminous Car,18450,2,5.0,7/29/2025
9,Elektronik,JOJOONLINESHOP.ID,Batam,Jam Digital Dinding Dan Meja LED Layar Besar Tampil Hari Tanggal Jam elektronik dengan Remot,160000,0,0.0,7/29/2025
10,Elektronik,PIKTOKO-TK,Kab. Tangerang,Keypad Arduino 4x4 Membran Pertamini Pom Mini Custom untuk Proyek Elektronik Komponen Elektronik,15000,0,0.0,7/29/2025
11,Elektronik,ERTA PAHRUDIN PRS,Surabaya,"HP Baru Samsug S26 Pro+ Gaming Phone murah cucigudang 2025 16GB+1TB Android14.0 4G/5G WFl Dual CardSlM-Kamera, Bluetooth -Layar,Smartphone-Screen,Handphone",1224000,0,0.0,7/29/2025
12,Elektronik,ERTA PAHRUDIN PRS,Surabaya,"[Beli Murah]HP Samsug Galaxy S26 Pro+ Murah Handphone cuci gudang Andorid -Smartphone 7.5inci Layar HD,16CB+1TB Storage, Kamera CuciGudang,2025 Asli -Camera",1224000,0,0.0,7/29/2025
13,Elektronik,LavaLoden,Surabaya,[ Flash Sales ] Handphone Samsng Galaxy S26 Ultra 7.5inch Layar 8000mAh Battery 16GB+1TB 72MP+108MP HD Kamera Smartphone 5G Dual SIM Card Gaming Phone - COD,1053762,0,0.0,7/29/2025
14,Elektronik,Dunia Elektronik Online,Jakarta Pusat,LAMPU MEJA KARAKTER / LAMPU BELAJAR KARAKTER / LAMPU TIDUR KARAKTER,36750,0,0.0,7/29/2025
15,Elektronik,REAIM MALL,Jakarta Utara,REAIM Stasiun Solder Digital Cerdas - Alat Solder & Desolder Presisi [Suhu Konstan 200°C-480°C] dengan Body Aluminium Padat & LCD Digital | Solusi Profesional untuk Reparasi Elektronik!,430000,0,0.0,7/29/2025
16,Elektronik,LogamMyth,Jakarta Utara,REAIM Stasiun Solder Digital Cerdas - Alat Solder & Desolder Presisi [Suhu Konstan 200°C-480°C] dengan Body Aluminium Padat & LCD Digital | Solusi Profesional untuk Reparasi Elektronik!,438600,0,0.0,7/29/2025
17,Elektronik,EP Elektronik,Kab. Lamongan,Box Speaker miniatur kimochi 3 inc,51000,0,0.0,7/29/2025
18,Elektronik,Tool World,Jakarta Utara,Reaim Obeng Set 6/10 Pcs Magnetik Kuat Obeng Plus Minus Multifungsi Gagang Anti Selip Ergonomis Obeng Presisi Obeng Tukang Alat Servis HP Motor Elektronik Rumah Tangga Obeng Kecil Besar Set Obeng Komplit Serbaguna untuk Bengkel dan DIY,110000,0,0.0,7/29/2025
19,Elektronik,KIUOYT,Tangerang,Obeng 7PCS Magnet Ketok Phillips Plus Chrome Vanadium untuk Rumah Elektronik Multifungsi Tahan Lama Anti Karat,89000,0,0.0,7/29/2025
20,Elektronik,Dunia Elektronik Online,Jakarta Pusat,Lampu Meja Belajar Table Lamp Led,40700,0,0.0,7/29/2025
21,Elektronik,Top Tools ID,Jakarta Utara,REAIM Obeng Set 128PCS Magnetik Multifungsi Obeng Plus Minus Presisi untuk HP Laptop Elektronik Motor Mobil Alat Tukang Bengkel Rumah Tangga Industri Gagang Ergonomis Anti Selip Set Komplit Kecil Besar Manual Listrik,236680,0,0.0,7/29/2025
22,Elektronik,Top Tools ID,Jakarta Utara,REAIM Obeng Set 37/11 Pcs Magnetik Multifungsi Obeng Plus Minus Presisi untuk HP Laptop Elektronik Motor Mobil Bengkel Industri Alat Tukang Rumah Tangga Gagang Anti Selip Ergonomis Set Komplit Kecil Besar Manual Listrik,45310,0,0.0,7/29/2025
23,Elektronik,ena. 889,Jakarta Barat,elektronik speaker  produk bergaransi resmi,995940,0,0.0,7/29/2025
24,Elektronik,AE0NE-7,Kab. Tangerang,Timbangan Elektronik Genggam Portabel Rumah Tangga - Timbangan Bagasi Mini Presisi Tinggi 0.01g (Skala Gram),48000,0,0.0,7/29/2025
25,Elektronik,hjklmnbvcxzerty,Surabaya,"Hp promo TENO Pova 6 Pro Smartphone Asli 16GB+1TB, 7,3 inci 4G/5Gwifi Android13 handphone Ponsel Bluetooth cara kredit hp di tiktok shop penjual lokal hp 2 jutaan kamera stabil dan jernih Bisa COD",1126650,0,0.0,7/29/2025
26,Elektronik,ERTA PAHRUDIN PRS,Surabaya,Samsug Galaxy S26 Pro+ 5G Murah Handphone Andorid 7.5inci Layar HD 16GB+1TB Storage Kamera 108MP Baterai 8000mAh Face Fingerprint ID Beli Murah Cuci Gudang Andorid Smartphone Snapdragon 8 gen,1199500,0,0.0,7/29/2025
27,Elektronik,suryajayaelektronik92,Kab. Bogor,POLYTRON Smart Android TV 32 inch PLD 32AG5759,909930,2,0.0,7/29/2025
28,Elektronik,suryajayaelektronik92,Kab. Bogor,POLYTRON 4K UHD Smart Google TV 75 Inch PLD 75UG5959,1610000,1,0.0,7/29/2025
29,Elektronik,LavaLoden,Surabaya,Samsng Galaxy S26 Ultra 7.5Inch Layar besar Handphone Murah 16GB+1TB 72MP+108MP HD Kamera 8000mAh Battery Ponsel Pintar Baru Android 14.0 4G/5G Dual SIM Card Bisa COD Smartphone,1050028,0,0.0,7/29/2025
30,Elektronik,Exotic E-bike,Jakarta Selatan,Promo cuci gudang sepeda listrik,1060000,2,0.0,7/29/2025
