,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal
0,Elektronik,Buku Beta,Kab. Sleman,Hukum Acara Perdata Secara Elektronik - Salim HS,93280,0,0,7/29/2025
1,Elektronik,CHAXIGO ID1,Jakarta Utara,Jam Tangan Elektronik Digital Analog CHAXIGO Tampilan LED Tahan Guncangan Tahan Air 50m Jam Alarm Bercahaya Jam Tangan Pria CA275,159000,0,0,7/29/2025
2,Elektronik,CHAXIGO ID1,Jakarta Utara,Jam Tangan Elektronik Digital CHAXIGO Tahan Air Chronograph LED Bercahaya Jam Tangan Pria Olahraga Luar Ruangan Jam Tangan Pelajar CA273,158000,0,0,7/29/2025
3,Elektronik,CHAXIGO ID1,Jakarta Utara,"Jam Tangan Elektronik CHAXIGO untuk Pelajar, Tampilan LED Digital, Tahan Air, Olahraga, Luar Ruangan, Chronograph Bercahaya, Jam Alarm Pria CA274",118000,0,0,7/29/2025
4,Elektronik,Kohler ID,Jakarta Barat,(Perfect Pair) KOHLER Family Care Kloset Duduk / Toilet 1PC Revolution 360 K-23188T-S-0 + PureWash E910 Smart Bidet Seat / Tutup Kloset Pintar Elektronik Soft Close K-28362K-0,18168480,0,0,7/29/2025
5,Elektronik,Kohler ID,Jakarta Barat,(Perfect Pair) KOHLER Veil Skirted Kloset Duduk / Toilet 1PC K-1381T-NS-0 + PureWash E910 Smart Bidet Seat Slim / Tutup Kloset Pintar Elektronik Soft Close K-28362K-0,17549100,0,0,7/29/2025
6,Elektronik,Brilliant StarShop,Jakarta Utara,{Brilliant Star Elektronik} Magic Com Penanak Nasi Welhome WRC 1211 Anti lengket Wellhome Ungu,200900,1,5,7/29/2025
7,Elektronik,Brilliant StarShop,Jakarta Utara,{Brilliant Star Elektronik} Magic com Okayama OK-101  Rice Cooker 1 Liter Model Baru,205500,2,5,7/29/2025
8,Elektronik,iuggyit,Kab. Bogor,Jam Mobil Tempel Dashboard / Jam Elektronik Tempel Dashboard Mobil Luminous Car,18450,2,5,7/29/2025
9,Elektronik,JOJOONLINESHOP.ID,Batam,Jam Digital Dinding Dan Meja LED Layar Besar Tampil Hari Tanggal Jam elektronik dengan Remot,160000,0,0,7/29/2025
10,Elektronik,PIKTOKO-TK,Kab. Tangerang,Keypad Arduino 4x4 Membran Pertamini Pom Mini Custom untuk Proyek Elektronik Komponen Elektronik,15000,0,0,7/29/2025
